"Id","Viscera.weight","Diameter","Dim3","Sex"
8,29.9,85,126,"F"
1046,80.3,101,283,"M"
2354,68.3,112,253,"F"
3952,31.4,78,107,"F"
1598,29.1,86,100,"I"
119,34.4,86,1007,"F"
554,26.2,74,77,"I"
3520,69.4,109,265,"M"
2366,43.2,101,169,"F"
2371,12.8,65,60,"I"
3127,58.6,99,1140,"M"
3514,56.1,100,199,"F"
1316,30.9,85,123,"I"
211,32.5,73,100,"F"
1123,25.4,83,137,"M"
958,30.7,78,92,"M"
3805,8.4,54,49,"I"
937,30.6,67,77,"I"
3432,9.8,53,33,"I"
3811,23.8,80,90,"I"
3338,80.1,105,249,"I"
2968,52.5,103,191,"M"
260,51.1,95,154,"F"
2233,40.9,89,132,"F"
1499,64.9,94,174,"M"
2562,22.2,69,93,"I"
1576,25.7,75,99,"I"
2935,37.3,95,142,"F"
3474,1.3,30,17,"I"
1801,61.1,95,186,"M"
385,42,85,144,"M"
3306,43.2,89,162,"I"
3659,29.6,90,127,"I"
2710,105.3,115,301,"F"
266,30.5,76,93,"F"
3303,74.1,115,238,"F"
41,18.2,67,78,"F"
2305,44.9,98,161,"M"
2085,79.5,108,193,"F"
4149,105.2,121,293,"M"
4114,42.8,84,130,"I"
830,15.1,64,71,"I"
3041,42.2,94,130,"F"
1582,29.4,78,102,"I"
869,52.1,104,206,"F"
1763,128.3,124,377,"M"
3417,36.4,90,156,"M"
699,22.9,67,75,"F"
1515,59.2,108,238,"F"
1352,22.4,93,162,"F"
1282,20.8,76,92,"I"
563,18.4,70,88,"F"
1949,59.5,103,190,"M"
1678,52.2,95,188,"M"
3618,40,92,147,"M"
1878,31.6,78,118,"I"
137,6.9,46,36,"F"
1637,43.5,94,157,"M"
111,26.9,79,80,"M"
1141,39.4,91,136,"M"
798,19.2,67,57,"M"
2683,48.6,96,162,"M"
3403,25,69,97,"M"
1290,20.6,79,83,"I"
3291,24.4,79,99,"F"
489,35.9,84,139,"M"
641,7.6,48,39,"M"
643,31.2,90,140,"F"
2533,51.8,98,191,"F"
581,49.4,98,189,"F"
984,33.3,80,101,"F"
19,8.6,59,54,"M"
1579,18.2,74,83,"I"
454,43.9,98,145,"F"
1772,34.3,65,125,"I"
3105,75.9,105,218,"M"
248,8.3,55,37,"I"
2335,118,126,372,"F"
1186,60.5,101,200,"F"
2461,31.6,70,86,"M"
2131,37,91,140,"M"
617,19,71,61,"F"
3778,47.3,94,162,"M"
3742,59.1,105,206,"F"
